headline,guardian_keywords,esg_category
We MPs know that Boris Johnson’s rhetoric is dangerous and divisive | Tracy Brabin and Jack Dromey ,['race'],social
GCSE textbook condemned for racist Caribbean stereotypes ,['race'],social
"How representative are our MPs? More are women, more are from ethnic minorities, but middle-class white men dominate ",['gender'],social
Dating two people at once: why I'm polyamorous and proud ,['gender'],social
Banks fear for their recovery – CBI,['job losses'],social
"Northern Ireland will legalise gay marriage, Scottish Tory leader says ",['lgbt rights'],social
Naomi Wolf admits blunder over Victorians and sodomy executions ,['lgbt rights'],social
Thousands of nursing staff to protest outside parliament over pay ,['work & careers'],social
"An extended lockdown in England could see some shops shut for good, say bosses ",['job losses'],social
RBS and NatWest to close 158 branches as customers go digital,['job losses'],social
Tokyo medical school admits changing results to exclude women ,['gender'],social
Pakistan urged to halt execution of severely disabled prisoner ,['human rights'],social
The toppling of Edward Colston's statue is not an attack on history. It is history | David Olusoga ,['race'],social
Philippines factory fire: 72 workers need not have died  via @GuardianGDP,['human rights'],social
"Praise her, praise her: should we refer to God as a woman? ",['gender'],social
Crimean Tatars accuse Russia of kidnappings and political arrests ,['human rights'],social
Long hours driving record numbers of NHS staff to quit ,['work & careers'],social
Mass unemployment feared despite Rishi Sunak's 'plan for jobs' ,['job losses'],social
Historian finds clues to grave of Britain’s first black army officer ,['race'],social
How to deal with office politics ,['work & careers'],social
Largest US police union asks Amazon to pull 'offensive' Black Lives Matter shirt ,['race'],social
Labour MPs attending antisemitism protest targeted for deselection ,['race'],social
"Obama’s strong words for Kenya are welcome. But it’s too little, too late ",['lgbt rights'],social
"How 1967 changed gay life in Britain: ‘I think for my generation, we’re still a little bit uneasy’ ",['lgbt rights'],social
My boss tells me to use documents from his previous employers ,['work & careers'],social
‘This is oppression’: gagging orders used to muzzle teachers ,"['work & careers', 'discrimination at work']",social
"After a campaign scarred by bigotry, it’s become OK to be racist in Britain | Aditya Chakrabortty ",['race'],social
How to survive as an aid worker without losing your soul  via @GuardianGDP,['work & careers'],social
Number of workers on zero-hours contracts drops to three-year low ,"['work & careers', 'employment law']",social
Your starter for 10: why so many male contestants on University Challenge? | Eve Livingston ,['gender'],social
Why are insurers still turning away LGBT customers? ,['lgbt rights'],social
ABC job title or some random words: can you tell the difference? ,['work & careers'],social
Leïla Slimani and Afua Hirsch: ‘People have a cliched way of looking at race’ ,['race'],social
Chechens tell of prison beatings and electric shocks in anti-gay purge: ‘They called us animals’ ,"['lgbt rights', 'human rights']",social
Sam Smith on being non-binary: 'I'm changing my pronouns to they/them' ,"['gender', 'lgbt rights']",social
High court grants leave to appeal to UK gender identity service ,['gender'],social
"Germany to quash convictions of 50,000 gay men under Nazi-era law ",['lgbt rights'],social
Universal credit ‘penalises the self-employed’ report warns ,['work & careers'],social
Liverpool venue drops Franklin Graham event over 'incompatible' views ,['lgbt rights'],social
Covid-19 skin rash website criticised for lack of BAME examples ,['race'],social
British Steel to axe almost 1 in 10 jobs ,['job losses'],social
The secret life of a trade union employee: I do little but the benefits are incredible ,['work & careers'],social
Muslim women kicked out of California restaurant sue for discrimination ,['race'],social
"Police keeping drink-driver's DNA breached his rights, judges rule ",['human rights'],social
‘I thought I’d put in a protest vote’: the people who regret voting leave ,['race'],social
Prevent will discourage the very students who can help fight extremism | Hicham Yezza ,['human rights'],social
Have you experienced sexual harassment at work? ,['work & careers'],social
'Fight for $15' will ease economic inequality. But could it end police violence too? | Steven W Thrasher ,['race'],social
Miss You Already director: Only 4% of films made by women make it. Why? ,['gender'],social
Aerospace industry records worst quarter as Covid halts sales,['job losses'],social
Why do people interrupt? It depends on whom you're talking to ,['gender'],social
My working week: 'Jakub has been sleeping rough for 10 days. I threaten the council with legal action' ,['work & careers'],social
Celebrities decry coronavirus's outsized impact on US blacks and Latinos ,['race'],social
Swedish investment company buys majority stake in Polestar,['job losses'],social
Marise Payne says China must be held to account for human rights abuses ,['human rights'],social
UK government accused of pursuing 'white nationalist' agenda ,['race'],social
"A quarter of UK betting shops could close, with 12,000 jobs at risk",['job losses'],social
"Sequins, sporrans, lechery and lap-dancing: why The Lady Boys of Bangkok rule the fringe ",['gender'],social
A moment that changed me – my father finding out that I’d shaved my legs | Nell Frizell ,['gender'],social
News International facing job losses,['job losses'],social
Pope Francis sends letter praising gay children's book ,['lgbt rights'],social
Almost three-quarters of large charities pay women less than men ,"['gender pay gap', 'gender']",social
"Girls speak out: 'I want to be a lawyer, to take action for pregnant children' ",['gender'],social
"As China tramples on Hong Kong's freedom, a feeble Britain avoids its glance | Angela Gui ",['human rights'],social
Amazon raises minimum wage for US and UK employees ,['work & careers'],social
Brexit 'race card' linked to attack on niqab-wearing Muslim woman ,['race'],social
The Observer view on Europe’s lurch to the right | Observer editorial ,['race'],social
From work to family - the experts' guide to a low-stress life ,['work & careers'],social
"Number of people who identify as lesbian, gay or bisexual at UK high ",['lgbt rights'],social
Labour suspends former head of EHRC over alleged Islamophobia ,['race'],social
Is it time to get rid of head girls and boys? ,['gender'],social
White people assume niceness is the answer to racial inequality. It's not | Robin diAngelo ,['race'],social
The Rohingya are facing genocide. We cannot be bystanders | Salman Rushdie and others ,['human rights'],social
Teenager in Four Corners juvenile detention exposé 'fears for his safety'   ,['human rights'],social
How to get good women on boards | Letters ,"['gender', 'work & careers']",social
Foreign Office warns LGBT tourists of North Carolina and Mississippi travel ,['lgbt rights'],social
The Peshawar women fighting the Taliban: 'We cannot trust anyone' ,['gender'],social
'Silly and regressive': Indian firms introduce period days ,['gender'],social
Cadbury cuts 250 jobs in Birmingham,['job losses'],social
"The past really is another country. Let’s leave Boris Johnson there | Ash Sarkar
 ",['race'],social
Broadway hit Hamilton under fire after casting call for 'non-white' actors ,['race'],social
MoD may allow gay marriage ceremonies on military bases ,['lgbt rights'],social
Cabinet Office and FCO divided over flying rainbow flag ,['lgbt rights'],social
Value of foreign takeovers soars above British firms buying overseas,['job losses'],social
Micky Nicholas: ‘The fire service was a negative environment for black people – but it’s changed’ ,['race'],social
First Florida gay weddings could take place on Monday after judge's ruling ,['lgbt rights'],social
LGBT people are prone to mental illness. It’s a truth we shouldn’t shy away from | Alexander Leon ,['gender'],social
"Trangender teenager Leelah Alcorn's death in Ohio was suicide, officials say ",['lgbt rights'],social
Revealed: FBI investigated civil rights group as 'terrorism' threat and viewed KKK as victims ,['race'],social
"'Hackney, I lost you': the London creatives priced out of their studios ",['work & careers'],social
Are these the world's most boring jobs? | Guardian readers and Sarah Marsh ,['work & careers'],social
African Americans bear the brunt of Covid-19's economic impact ,['race'],social
Mark Ellis quits One Nation after alleged threats to kill employee revealed ,['race'],social
Lewis Hamilton to set up commission to increase diversity in motor sport ,['race'],social
"Universal basic income won’t replace work, but could make it more humane | Anna Dent ",['work & careers'],social
Farage’s poster is the visual equivalent of Enoch Powell’s ‘rivers of blood’ speech | Jonathan Jones ,['race'],social
"Represent: 200 Years of African American Art review – not bold, but dutiful ",['race'],social
Congressman calls Bruce Springsteen 'bully' for protesting anti-LGBT law ,['lgbt rights'],social
Can the UK regional airline Flybe fly out of its troubles? ,['job losses'],social
Matt Damon and the Great Wall: the latest targets of whitewashing on film ,['race'],social
Will Young: ‘People confuse me with Olly Murs. That tests me. I thought I was better-looking.’ ,['lgbt rights'],social
Wolseley cuts 800 more jobs as profits dip,['job losses'],social
Revealed: officer who killed Rayshard Brooks accused of covering up 2015 shooting ,['race'],social
Applying for jobs without experience? Here's how to build and sell your skills ,['work & careers'],social
Brighton Pride parade rerouted over 'suspect package' on seafront ,['lgbt rights'],social
Bring the Dallas murderers to justice. And the killers of black people too | Gary Younge ,['race'],social
'Not just in the US': amateur historian highlights Canada's forgotten racism ,['race'],social
I'm a Romany Gypsy – why is racism against us still acceptable? | Grace O'Neill ,['race'],social
Cambridge University has a problem with race. Now it must admit it | Micha Frazer-Carroll ,['race'],social
"I rejected fairytales as a kid. Who needs them, when there are real wolves nearby? ",['race'],social
Zoe Saldana in dark-makeup is no way to represent Nina Simone onscreen | Frances Acquaah ,['race'],social
How to deal with homophobia and hate? Take a leaf out of Nick Cave's book  ,['lgbt rights'],social
Omid has an incurable condition and wants to die – it’s time the law changed | Saimo Chahal ,['human rights'],social
Jeff Sessions now has my book 'White Rage'. Will he read it? | Carol Anderson ,['race'],social
Ten tips on how to write the perfect CV ,['work & careers'],social
UK jobs support should end only when Covid crisis is over – Haldane,['job losses'],social
The far right is a growing danger to tolerance and democracy | Letters ,['race'],social
"Jaguar Land Rover may cut up to 5,000 jobs ",['job losses'],social
Life after steel: can Redcar rise from the ashes? ,['job losses'],social
When is an immigrant not an immigrant? When they’re rich | Afua Hirsch ,['human rights'],social
BHS seeks Sports Direct lifeline as it heads for collapse,['job losses'],social
"‘It’s by us, for us’: trans Americans pool resources for chest binders, hormones and surgery ",['lgbt rights'],social
I was on a British TV diversity scheme – and saw why they don't change anything | Tabasam Begum ,['race'],social
Edinburgh Woollen Mill and Ponden Home enter administration with loss of 860 jobs,['job losses'],social
"Sorry, Google memo man: women were in tech long before you | Holly Brockwell ",['gender'],social
'That took long enough!' – black ballerinas finally get shoes to match their skin ,['race'],social
Donald Trump accuses Spike Lee of 'racist hit on your president' ,['race'],social
Immigration detainees bring legal challenge against £1 an hour 'slave' wages ,['human rights'],social
Pioneer of gender-reveal party regrets sparking trend: 'Let kids be who they are' ,['gender'],social
Alabama judge makes last stand against same-sex marriage in state ,['lgbt rights'],social
The Guardian view on coronavirus harms: pandemic shows inequities are deadly | Editorial ,['race'],social
German jobs matter more than British in Opel/Vauxhall bidding,['job losses'],social
Rishi Sunak extends Covid job furlough scheme until March 2021,['job losses'],social
Covid-19 ‘could be endemic in deprived parts of England’ ,['race'],social
Bassiani: the Tbilisi techno mecca shaking off post-Soviet repression ,['lgbt rights'],social
UK businesses warn £2bn youth jobs scheme not enough to beat Covid recession ,['job losses'],social
"David Cameron, you won't enjoy this: inside the Windrush scandal musical ",['race'],social
Inside the gig economy: the 'vulnerable human underbelly' of UK's labour market ,['employment law'],social
Pep Guardiola gives support to ‘extraordinary’ Danny Rose over racism ,['race'],social
Drop in teenage suicide attempts linked to legalisation of same-sex marriage ,['lgbt rights'],social
Tennessee police on high alert for white nationalist and neo-Nazi rallies ,['race'],social
What is it like to work as a university counsellor? ,['work & careers'],social
Who is 'handsy in taxis'? Spreadsheet of sexual allegations alarms Tories ,['gender'],social
Edinburgh LGBT+ committee resigns over 'transphobic hate on campus' ,"['gender', 'lgbt rights']",social
MI6’s next mission won’t be easy: recruiting spies from minority groups | Hugh Muir ,['race'],social
"British army did not use torture in Northern Ireland, court rules ",['human rights'],social
Nine out of 10 children on remand in London come from BAME background ,['race'],social
'They just don't fit in': UCLA study links racism and segregation in Orange County ,['race'],social
Bell Pottinger chief quits ahead of ruling on race hate campaign claims ,['race'],social
Violence during Uganda’s Pride shattered my illusions of safety – and hope | Frank Mugisha  ,"['lgbt rights', 'human rights']",social
"Gary Lineker is BBC's best paid star again, but women close gap ",['gender pay gap'],social
Chancellor hints at tax measures to help high street after House of Fraser deal,['job losses'],social
'It was a little nod to Kaepernick': Megan Rapinoe kneels for Star-Spangled Banner ,['race'],social
High street job losses mount with Homebase next in line for closures ,['job losses'],social
Hatred of LGBTQ people still infects society. It's no time to celebrate | Owen Jones ,"['lgbt rights', 'human rights']",social
Oliver Bonas becomes first UK high street chain to pay living wage ,['work & careers'],social
Does inequality begin at home? Tell us how the housework is shared in your home ,['gender'],social
I've studied radicalization – and Islamophobia often plants the seed | Sarah Lyons-Padilla ,['lgbt rights'],social
More than 800 senior Asda shopfloor staff face pay cut or redundancy ,['job losses'],social
"The Guardian view on immigration: it’s not more talk we need, it’s more honesty | Editorial ",['race'],social
Good Night Stories for Rebel ... Boys? Male versions of bestseller arrive on shelves ,['gender'],social
San Francisco Uber driver assaulted after passenger allegedly refuses to wear mask ,['race'],social
Gucci withdraws $890 jumper after blackface backlash ,['race'],social
Author Leïla Slimani urges Moroccans to rebel against 'medieval' laws ,"['human rights', 'lgbt rights']",social
Humiliated and degraded: this is how black men are treated by police | Stafford Scott ,['race'],social
My boss messages me at all hours – what should I do? ,['work & careers'],social
Manchester University braced for losses of more than £270m,['job losses'],social
"National Trust to cut 1,300 jobs as a result of Covid-19 crisis",['job losses'],social
Bangladeshi lawyer takes aim at sexual violence by religious edict | Lipika Pelham ,"['gender', 'human rights']",social
UN panel to consider US 'failure' to clear up racial murders of civil rights era ,['race'],social
'As if we were the disease': coronavirus brings prejudice for Italy's Chinese workers ,"['race', 'job losses']",social
UK government to expand Covid-19 rescue loan scheme ,['work & careers'],social
'Visibility is so important': trans teen athletes shine in new documentary ,['lgbt rights'],social
It’s not wage rises that are a problem for the economy – it’s the lack of them | Thomas Frank ,['work & careers'],social
High street job losses hit record level in UK,['job losses'],social
BBC announces further 70 job cuts in news division ,['job losses'],social
Northern Ireland gay marriage ban will see legal challenge in 2015 – Amnesty ,['lgbt rights'],social
Fendi forced to retract opposition to Roma Pride using image of HQ ,['lgbt rights'],social
'Prejudices play out in the ratings we give' – the myth of digital equality ,['race'],social
Westminster progress on toxic culture ‘still too slow’ two years on ,['gender'],social
Milwaukee man arrested for allegedly throwing acid at 'illegal' US citizen ,['race'],social
Being Asian-American in the time of Covid-19 | Geoffrey Mak ,['race'],social
There’s no way to defend the Jack the Ripper museum while women are still being murdered by men | Sian Norris ,['gender'],social
So your company uses diversity training. Does it even work? ,"['race', 'work & careers']",social
Working in a heatwave: your legal rights ,['work & careers'],social
Greens accuse Coalition of 'aiding and abetting' formation of a police and surveillance state ,['human rights'],social
"Julian Assange case is the Dreyfus of our age, says John McDonnell ",['human rights'],social
Exclusive: watchdog urges charges over death in custody ,['race'],social
Herman Ouseley calls for drastic action to help football whistleblowers  via @guardian_sport,['race'],social
Rewriting Shakespeare makes his plays live again. Don’t knock it | Alex Clark ,"['gender', 'race']",social
Stop Jeremy Corbyn’s mistrial by media over antisemitism | Letters ,['race'],social
Welcome to the robot-based workforce: will your job become automated too? ,['work & careers'],social
Jeremiah Terminator LeRoy review – Kristen Stewart adds real edge to a literary hoax ,['gender'],social
"An open letter to President Erdo?an from 38 Nobel laureates | JM Coetzee, Kazuo Ishiguro, Svetlana Alexievich and others ",['human rights'],social
US military to repeal ban on openly transgender personnel ,['lgbt rights'],social
The university final salary pension scheme is a parable for our times ,['work & careers'],social
"LSE graduates top average earnings table by age 29, data shows ",['work & careers'],social
Tories sack 10% of party HQ staff as credit crunch bites,['job losses'],social
Quitting UN human rights council puts US 'on wrong side of history' – activists ,['human rights'],social
Children interrupting Zoom meetings could be the reboot corporate culture needed | Catharine Lumby ,['work & careers'],social
Shocking videos are just the start – Islamophobia is rife in Britain | Remona Aly ,['race'],social
"'Hate-filled' narratives target minorities globally, says Amnesty International ",['human rights'],social
Seven steps to becoming an astronaut  ,['work & careers'],social
How do you get girls to school in the least educated country on Earth? via @guardianGDP ,['gender'],social
Egyptian journalist detained in Cairo for 'spreading false news' after Berlin trip ,['human rights'],social
"It’ll be painful, but women have to shame the sexists | Charlotte Proudman ","['gender', 'work & careers']",social
My childhood in a cult is hard to imagine - but my survival is truly unbelievable ,['gender'],social
'No one questioned it': teacher's tribunal victory shines light on unfettered academy powers ,['employment law'],social
Enforcing high heels in the office is the height of workplace sexism ,"['work & careers', 'gender']",social
'This is our feminist spring': millions of Mexican women prepare to strike over femicides ,['gender'],social
Bangladeshi activist Shahidul Alam released from prison ,['human rights'],social
Anne Hathaway: I regret not trusting female directors ,"['gender', 'discrimination at work', 'work & careers']",social
Household income plays crucial role in determining a child's prospects – report ,['work & careers'],social
Marvel announces first gay Captain America ,['lgbt rights'],social
UK shops urged to look at Italian tomato sourcing over 'exploitation' concerns ,['human rights'],social
Thousands in New Zealand protest against George Floyd killing ,['race'],social
Deaths of black men in custody pose challenge on ‘Stephen Lawrence level’  ,['race'],social
Chris Jordan: 'The Black Lives Matter message is definitely being heard' ,['race'],social
Diaspora tax for Eritreans living in UK investigated by Metropolitan police ,['human rights'],social
Businesses back calls for limits to lengths of unpaid internships ,['work & careers'],social
"Accused of underpaying women, Google says it's too expensive to get wage data ","['discrimination at work', 'work & careers']",social
You're fired! Share your stories of being sacked  ,['work & careers'],social
Transgender green activist makes Irish election history ,['lgbt rights'],social
Dominic West: I never realised pay disparity with Ruth Wilson ,['gender pay gap'],social
Saudi women's rights activist Loujain al-Hathloul released from prison ,['gender'],social
‘Photography saved my life’ – the year-long exposure of visual activist Zanele Muholi ,['lgbt rights'],social
"Stand up to everyday racism and hate crimes, Jeremy Corbyn urges ",['race'],social
Threat of fresh job losses and shutdowns at Jaguar Land Rover,['job losses'],social
Port Talbot workers urge government to rescue site and save jobs,['job losses'],social
We wouldn’t put up a statue to Nelson or Robert E Lee today | Letters ,['race'],social
"Yes, let’s battle period poverty. But there’s so much more to fight for | Ash Sarkar ",['gender'],social
"Evernote boss talks zombie emails, Apple Watch and sci-fi collaboration ",['work & careers'],social
JK Rowling tells of anger at attacks on casting of black Hermione ,['race'],social
Playing with fire: last-minute deal saves Toys R Us from collapse | Nils Pratley ,['job losses'],social
Jailed. Beaten. Yet 1960s activist Fannie Lou Hamer stood up to white supremacy – comic ,['race'],social
Wellcome Trust drops plans to trial four-day working week ,['work & careers'],social
Trump's travel ban is a test for the US supreme court – and the country | Amir Ali ,['race'],social
"Sajid Javid review could mean business department axing 4,000 jobs",['job losses'],social
"As a waitress, I work tirelessly for tips – it’s what keeps me out of poverty | Poppy Noor ",['work & careers'],social
Growing pressure on Corbyn to sack Ken Livingstone over antisemitic comments ,['race'],social
'I worked as a prosecutor. Then I was arrested. The experience made a man out of me. It made a black man out of me' ,['race'],social
Alabama asks federal judge to put gay marriage ban ruling on hold ,['lgbt rights'],social
Supreme court to hear challenge to UK's voter ID trial in 2019 election ,['race'],social
"Leading firms announce more than 2,000 job cuts",['job losses'],social
A problem with no nipples in the office | Brief letters ,['gender'],social
"When newsrooms are dominated by white people, they miss crucial facts ",['race'],social
'A patient's thumb has been nearly amputated in a machete attack' ,['work & careers'],social
John Lewis appoints Paula Nickolds as first female managing director ,['gender'],social
Meera Syal criticises lack of Asian people on British TV ,['race'],social
"Greed, cruelty, consumption: the world is changed yet its worst persists ",['race'],social
SNL adds first Asian cast member while another is under fire over anti-Asian slur ,['race'],social
Russell Simmons issues statement supporting #MeToo ,['race'],social
Walmart attacks Arkansas religious freedom bill for sending 'wrong message' ,['lgbt rights'],social
Isis orders women in Iraq and Syria to wear double-layered veil and gloves ,['human rights'],social
"Amnesty should be given to Troubles soldiers, says Mordaunt ",['human rights'],social
Keir Starmer: pupils should learn more black British history ,['race'],social
Why do some schools still ban girls from playing football? | Anna Kessel ,['gender'],social
Tumblr’s ‘porn ban’ will leave its marginalised users with no safe haven | Roisin Agnew ,['gender'],social
Oliver Letwin’s non-apology shows how far Tory modernisers have to go | Matthew d’Ancona ,['race'],social
"Toys R Us faces collapse with loss of 3,500 UK jobs ",['job losses'],social
"UK car dealership Pendragon to cut 1,800 jobs",['job losses'],social
Lawsuit could set precedent for prosecution of war criminals living in US ,['human rights'],social
Former paratroopers sue army over 'years of racism from soldiers' ,"['race', 'discrimination at work', 'work & careers']",social
Bush Theatre boss Madani Younis: ‘I want to provoke culture’ ,['race'],social
Clint Dyer on Death of England: 'It's radical for black people to write about white people' ,['race'],social
What I wish I could tell my boss: 'You saved my life when I was suicidal' ,['work & careers'],social
"Race is clearly a factor in Covid deaths, but the UK government is in denial | Winston Morgan ",['race'],social
'I applied for around 90 jobs': unemployed and furloughed in a pandemic ,['work & careers'],social
Science doesn’t belong to men. Here’s the proof | Afua Hirsch ,['gender'],social
Asda to cut 200 jobs at Leeds head office,['job losses'],social
"I'm glad Australia has voted yes, but I'll never take my equality for granted again | Dee Jefferson ",['lgbt rights'],social
HSBC says banking reform could cost UK jobs,['job losses'],social
James Dawson: we need to take action on mental health of LGBT teens ,"['lgbt rights', 'gender']",social
"Sir Philip Green must repay £400m or lose knighthood, says MP ",['job losses'],social
Hunt for Viking DNA among Normandy residents riles anti-racism activists ,['race'],social
We can't talk about racism without understanding whiteness | Priyamvada Gopal ,['race'],social
Love Song to Lavender Menace review – an ode to 80s LGBT booksellers ,['lgbt rights'],social
Turkish court frees seven journalists – but others still behind bars ,['human rights'],social
"G4S planning more than 1,000 job losses in cash handling services ",['job losses'],social
'Change will happen': the queer artists giving east Belfast a radical makeover ,['lgbt rights'],social
"Unemployment jumps 220,000 to 2.4m","['job losses', 'work & careers']",social
Chicken boxes to return to Home Office with handwritten knife crime solutions ,['race'],social
"Egypt's tougher penalties for FGM will have little impact, say rights groups ",['human rights'],social
"Evil but fabulous: in praise of films' complicated, queer villains | Nico Lang ",['lgbt rights'],social
Corrie’s Roots row shows how much British TV has to learn about race | Dreda Say Mitchell ,['race'],social
NHS staff survey prompts call to tackle bullying and discrimination ,"['discrimination at work', 'work & careers']",social
Brothers stopped and searched over a fist bump to sue Met police ,['race'],social
"Shantay, you play: the drag queens of gaming ",['gender'],social
Sunday Times criticised for portrayal of female politicians without children ,['gender'],social
Do we really have to get our football kit on for the lads? | Paula Cocozza  ,['gender'],social
Asylum seekers forcibly removed from Darwin detention in middle of the night ,['human rights'],social
"Stansted 15 activists vow to overcome 'dark, dark day for the right to protest' ",['human rights'],social
Where did the weekend go? How work stole our Saturdays and Sundays ,['work & careers'],social
Video shows Chris Cuomo threatening man who called him 'Fredo' ,['race'],social
Militant tenderness: how teachers are rooting out sexism in school ,['gender'],social
Abortion measure in human trafficking bill shows Republican focus unchanged ,['gender'],social
TSB 'may close up to 100 branches and put 400 jobs at risk',['job losses'],social
UK government accused of 'dragging heels' in response to racism report ,"['race', 'human rights']",social
White People: MTV misses opportunity to have uncomfortable talk about race ,['race'],social
Trump hails Kanye and mocks Lincoln at Young Black Leadership Summit ,['race'],social
Utah judge reverses order to take foster baby away from same-sex couple ,['lgbt rights'],social
When will France admit that police racism is systemic? | Rokhaya Diallo ,['race'],social
Uber drivers' fight for workers' rights reaches UK supreme court ,['employment law'],social
Variety magazine regrets misleading headline on Kirsten Stewart video ,['gender'],social
I’m an immigrant and a Muslim. And I’m here to cure cancer | Azra Raza ,['race'],social
Uber accused of trying to deter drivers from seeking compensation ,['employment law'],social
Low-paid workers report sharp rise in ‘wage theft’ ,['work & careers'],social
Tegan and Sara: ‘We couldn’t tell each other we hated being on stage’ ,['lgbt rights'],social
Derek Chauvin trial: two jurors cut over impartiality concerns after $27m Floyd settlement ,['race'],social
Was Helen Goodman's tweet about Jeremy Hunt's wife racist? ,['race'],social
Two schools in Mississippi -  lesson in race and inequality in America ,['race'],social
'It feels like it's game over': Polish liberals despair after Duda's win ,['lgbt rights'],social
Have you experienced a gender gap working in publishing? ,['work & careers'],social
African man in Belfast moves house after racist paint bomb attack ,['race'],social
Tory MPs call for welfare cuts rethink after pause motion passed ,['work & careers'],social
'Stratospheric' political book sales almost double in two years ,['race'],social
Alexei Smertin named as Russia’s anti-racism inspector before 2018 World Cup  via @guardian_sport,['race'],social
The Guardian view on the death of George Floyd: a turning point? | Editorial ,['race'],social
Femen's topless condescension towards Muslim women only helps sexism | Susan Carland  ,['gender'],social
This prorogation crisis shows why the UK needs a written constitution | Jemma Neville ,['human rights'],social
California becomes first in US to ban discrimination over natural hairstyles ,"['discrimination at work', 'work & careers', 'race']",social
'Founder syndrome': a strong personality is crippling my charity – via @GdnVoluntary ,['work & careers'],social
Press freedom groups condemn Turkish media crackdown ,['human rights'],social
'The swag is limitless': why Beyoncé's Beychella Homecoming is so radical | Candice Carty-Williams ,['race'],social
British Airways plans to resume some flights in July,['job losses'],social
BBC claims success in efforts to improve on-air gender balance ,['gender'],social
Men going their own way: the toxic male separatist movement that is now mainstream ,['gender'],social
In China women 'hold up half the sky' but can't touch the political glass ceiling ,['gender'],social
Two arrests made over alleged racist behaviour at Peterborough v Doncaster ,['race'],social
"Tez Ilyas: 'When comics talk about religion, it's not very funny' ",['race'],social
National Express investigates claim of driver's 'racist and Islamophobic' tirade ,['race'],social
Richard Ford should swallow his pride over Colson Whitehead's bad review ,['race'],social
"AstraZeneca cuts 2,300 sales and administration jobs","['job losses', 'work & careers']",social
