headline,text,url
Royal Mail warns of job losses after sell-off,"Royal Mail has warned that more postal workers will lose their jobs following its controversial privatisation.
In its written submission to parliament on Wednesday, Royal Mail said: ""The company will employ fewer people in the future, whoever owns it.""
Royal Mail workers, who are 96% opposed to the privatisation, continued their campaign against the sell-off with a protest outside parliament ahead of committee meeting.
Activists dressed up as highway robbers carried banners saying: ""The Great British Royal Mail Robbery"".
The government has been overwhelmed with public orders for shares in Royal Mail, up to 70% of which will be floated on the stock exchange on Friday morning.",https://www.theguardian.com/uk-news/2013/oct/09/royal-mail-warns-thousands-job-losses
"Uber is misleading drivers about its legal defeat, claims union ","The GMB union has accused Uber of misleading its drivers by claiming last week’s tribunal decision on working conditions only affects two drivers involved in the case.
James Farrar and Yaseen Aslam brought the case on behalf of a group 19 Uber workers who argued they were employed by the San Francisco-based company and not working for themselves.
Lawyers said the victory would affect their fellow Uber drivers and have implications for tens of thousands of workers in the so-called gig economy.
The Uber judgment applies to 40,000 UK drivers, not two.
An Uber spokesman said: “The ruling would affect the two drivers that were the test cases in the tribunal.",https://www.theguardian.com/business/2016/oct/30/uber-is-misleading-drivers-about-its-legal-defeat-claims-union
Shutting Barclays tax avoidance unit to take up to 10 years,"Shutting Barclays' tax avoidance unit will take up to 10 years as legacy schemes run their course, it has emerged as the new chief executive sets out five principles to govern the bank's new approach.
Antony Jenkins set out his pledge that the bank would only engage in tax planning to support ""genuine commercial activity"" and ensure it complies with the code of practice on tax that the government required the banks to sign shortly after the 2010 election.
Any business engaged in for tax planning purposes would also need to be consistent with the bank's purpose and values.
""Should any of these principles be threatened, we will not proceed – regardless of the commercial implications,"" the bank said.
Barclays would not disclose how much profit was generated by the structured capital markets division – which former Conservative chancellor Lord Lawson has accused of industrial-scale tax avoidance – in the past or how much it expected the division to make in the years ahead.",https://www.theguardian.com/business/2013/feb/12/shut-barclays-tax-avoidance-unit-10-years
BP's greener vision has failed to excite shareholders ,"The stock, 480p at the start of this year before the Covid recession hammered the oil price, closed on Wednesday at 199.96p.
Despite the inevitable cut in the dividend, BP’s shares were briefly steady at 300p.
Investments in low-carbon assets, mainly offshore wind and solar, will rise tenfold to $5bn (£3.8bn) a year by 2030 under Looney’s plan.
But nor can one say that Looney’s greener vision has excited BP’s shareholders.
He probably didn’t think BP’s investors would need a pep talk so soon, but it seems they do.",https://www.theguardian.com/business/nils-pratley-on-finance/2020/oct/21/bp-greener-vision-shareholders-share-price-oil-firm
Unilever to tackle advertising stereotypes in diversity drive ,"Unilever has said it will tackle advertising stereotypes and work with more businesses run by women and other under-represented groups as part of a wider inclusivity drive.
Unilever will also increase the number of advertisements that feature or are created by people from diverse groups.
The move would “help tackle the prevalence of stereotypes that are often perpetuated through advertising, and promote a more inclusive representation of people”, it said.
“They don’t want to sit in an office five days a week and want different ways of being involved in teams.
Hitting this ambitious target would involve working with farmers, suppliers, NGOs and governments to bring about systemic change.",https://www.theguardian.com/business/2021/jan/21/unilever-advertising-stereotype-diversity-women-ethnic-minorities
City investors push for BP to be more open on climate change policy ,"A coalition of major City investors have emerged as key players in forcing BP to be more transparent in how it fights climate change.
The resolution is thought to represent the strongest level of support for a climate-related resolution at a major publicly listed company.
Under the Climate Action 100+ resolution, BP will have to provide a detailed strategy on how it will comply with the Paris agreement, the global deal reached in 2015 on climate change that aims to limit global warming to only 1.5ºC above pre-industrial levels.
Steve Waygood, chief responsible investment officer at Aviva Investors, described the resolution as only the first step in tackling the climate emergency.
BP has opposed another resolution, co-ordinated by the campaign group Follow This, which would force the company to set targets to reduce total emissions from BP fuel.",https://www.theguardian.com/business/2019/may/14/city-investors-push-for-bp-to-be-more-open-on-climate-change-policy
Time for Apple to open up the MacBooks,"Apple has always been about doing the right thing, never the easy thing.” So said its chief executive, Tim Cook, on Thursday, still hopping mad about the European commission’s ruling that the iPhone-maker should pay €13bn (£11bn) in back-taxes to Ireland.
Apple, we might agree, wasn’t doing the easy thing; it was engaged in something difficult, in the sense of convoluted and elaborate.
Brussels’ power to interfere in a long-standing tax deal between a EU national government and a company is unclear.
Remember Swiss bank UBS’ 40-page guide to staff in 2010 that included a ban on eating onions and garlic?
The commission claims investment banks’ fussiness-cum-prejudice is really a way to “set up barriers for individuals from non-privileged backgrounds”.",https://www.theguardian.com/business/nils-pratley-on-finance/2016/sep/01/apple-tax-time-open-up-macbooks-tim-cook-eu-avoidance
Clash of corporate cultures costs British chief of Olympus his job,"For a company that makes endoscopes as well as cameras, Olympus shareholders might be forgiven for expecting a clear view inside their business.
Woodford also demanded Olympus executives resign and has suggested in interviews that he now fears for his personal safety.
E&Y, which continues to act for Olympus and declined to comment, had replaced KPMG as the group's worldwide auditors in 2009.
While still working for Olympus, Woodford also appointed another accounting firm, PWC, to carry out a forensic investigation.
On 1 October, Woodford was made chief executive, succeeding Kikukawa who continued in his other role as chairman.",https://www.theguardian.com/business/2011/oct/24/olympus-scandal-michael-woodford
"Barclays, HSBC and Lloyds among UK banks that had links to slavery ","The slave trade was abolished in the British Empire in 1807 but it was not until 1833 that the Slavery Abolition Act finally banned the ownership of other human beings.
Two managers, a subscriber and three directors are named on the UCL database as having been involved in the slave trade or received slave compensation.
HSBC has zero tolerance towards racial discrimination, or any other type of discrimination.”Lloyds Banking GroupFor its first 100 years Lloyds Bank operated from just one office in Birmingham.
That meant it was also intimately involved in the slave trade.
Arbuthnot LathamBoth of the private bank’s founders, Alfred Latham and James Alves Arbuthnot, were linked to the slave trade.",https://www.theguardian.com/business/2020/jun/18/barclays-hsbc-and-lloyds-among-uk-banks-that-had-links-to-slavery
"Shareholder pay revolt 'embarrassed' Royal Mail bosses, MPs hear ","A Royal Mail director has admitted the company’s management was “embarrassed” by its failure to engage with shareholders before a large-scale pay revolt in July, as MPs described as “astounding” a £5.8m payout to secure a new chief executive.
Ni-Chionna said Royal Mail had been keen to retain Back within the group, and confirmed the payout was not subject to tax in the UK.
Rachel Reeves, the Labour MP who chairs the committee, said it was “a woeful tale” of poor shareholder engagement at Royal Mail, which was privatised in 2013.
Ni-Chionna, who is also deputy chair of the National Trust, said the company had learned lessons, adding: “I’m very aware that Royal Mail is a very special company.
After the select committee hearing, Reeves said: “Companies need to pay much more attention to their shareholders, workers and the public when they set chief executive pay.",https://www.theguardian.com/business/2018/oct/16/royal-mail-shareholder-pay-revolt-embarrassed-select-committee
Bezos snubs Amazon workers demanding action on climate crisis ,"Amazon’s chief executive officer, Jeff Bezos, refused to address employees demanding the company take action on the climate crisis at its annual shareholder meeting on Wednesday.
About 50 members of the group Amazon Employees for Climate Justice attended the event, representing 7,700 staffers who signed a letter publicly urging Amazon to overhaul its climate policy.
Employees put forth a proposal at the meeting requesting a public report on climate change from Amazon’s board of directors.
At a press conference following the shareholder meeting, the employees suggested Amazon should put forth a timeline for reaching a zero emission goal.
We – Amazon’s employees – have the talent and experience to remake entire industries with incredible speed.",https://www.theguardian.com/technology/2019/may/22/amazon-workers-climate-crisis-board-jeff-bezos
Food standards chiefs told to declare contacts with new Tesco director,"The FSA's chair, Lord Rooker, emailed board members after Smith took up his position as Tesco technical group director on 15 October last year.
They were told to ""declare any contact with Tim"" at ""each open board meeting"" in order to protect ""the FSA, the board as well as Tim himself"".
But in recognition of the sensitive nature of the move – and the powerful position of Tesco – Rooker noted that Smith's ""transition from UK food regulator to Tesco has passed with minimal comment"" and that ""Tesco is not any old British company.""
Tesco said: ""Tim Smith was appointed to his role as group technical director at Tesco in accordance with the rules set out by the Advisory Committee on Business Appointments.
Tim Smith is fully aware of these rules and has abided by them throughout his time at Tesco.""",https://www.theguardian.com/business/2013/may/02/food-standards-agency-tesco-director
Tesco asks shoppers to weigh their food bins to help cut waste ,"Consumers are being asked to rifle through their bins in order to weigh and record their daily food waste, in an ambitious trial that aims to reduce the 6.6m-tonne mountain of food thrown away by UK households every year.
The UK has signed up to a global sustainable target of halving food waste by 2030.
“Cutting food waste has proved a stubborn challenge and we are a long way from the goal of halving food waste.”Supermarkets have been criticised for wasting food in their supply chains that could be diverted to food banks.
In Tesco’s research, 35% of people said they reduced their food waste during lockdown and 75% said they had kept this up since restrictions were lifted.
Only 3% of those who cut food waste during lockdown said they did not plan to continue these new habits in future.",https://www.theguardian.com/business/2020/sep/05/tesco-asks-shoppers-to-weigh-their-food-bins-to-help-cut-waste
Silicon Valley outraged by Apple tax bill: 'Europe is changing rules retroactively',"Ireland’s cosy relationship with Silicon Valley has been called into question after the European commission slapped Apple with a whopping $14.6bn tax bill.
These companies have been complying with the Irish rules.
“Ireland has always been transparent in its wish to tax Apple and other multinationals at a low rate.
In more recent years, Ireland, along with the Netherlands and Luxembourg, have wooed Silicon Valley with attractive tax deals, offering low rates of corporate tax in return for job creation and investment.
Meanwhile, Silicon Valley’s tech elite prepares to board private jets to Burning Man, wondering what the European Union has against them.",https://www.theguardian.com/technology/2016/aug/30/apple-eu-tax-bill-silicon-valley-response
"Inside the hate factory: our Guardian investigation found 1,486 posts from the Facebook network attacking Ilhan Omar with false stories. Those posts attracted 53,189 Reactions, 38,761 Comments and 30,430 Shares  ","“Please give me a chance for a day.”Identical Facebook posts attacking the UK Labour leader, Jeremy Corbyn, across a number of alt-right Facebook accounts.
It is then published almost simultaneously to the network’s 21 Facebook pages, which have a combined 1 million followers across the globe.
The content is amplified further by other far-right Facebook pages, including those run by the rightwing UK Independence party (Ukip), who share it organically.
More than 510 coordinated posts have attacked the Labour leader since mid-2016, attracting 15,384 likes, 17,148 comments and 16,406 shares.
Identical Facebook posts attacking US senator Minnesota Democrat Ilhan Omar across alt-right Facebook accounts.",https://www.theguardian.com/australia-news/2019/dec/06/inside-the-hate-factory-how-facebook-fuels-far-right-profit
BAE Systems jobs fears as India looks set to reject Eurofighter Typhoon,"BAE Systems had been hoping to partly assemble 126 Eurofighter Typhoon jets at Warton and Samlesbury in Lancashire for the Indian air force.
""Our partner, Cassidian, submitted an attractive and competitive proposal to supply Eurofighter Typhoon, the world's most modern medium multi-role combat aircraft available today.
""We believe Eurofighter Typhoon offers the best military, industrial and economic solution for India.
""The Typhoon is a superb aircraft which supports thousands of highly skilled jobs in the UK, both at BAE Systems and in the supply chain.
Unite said it will continue to concentrate its efforts to deal with the 3,000 potential redundancies at BAE Systems at Brough, Samlesbury and Warton, which were announced late last year.",https://www.theguardian.com/business/2012/feb/01/bae-systems-jobs-fears-india
Tesco to stop selling caged hens' eggs by 2025 after petition ,"Tesco is to stop selling eggs from caged hens by 2025 after a teenager’s petition attracted more than 280,000 signatures.
The supermarket will follow Sainsbury’s, Marks and Spencer and Aldi in committing to stop selling caged hens’ eggs.
Lucy Gavaghan, 14, launched a petition on Change.org urging the supermarket to stop selling caged hens’ eggs, describing the farming method as “cruel, unnatural and inhumane”.
At present, 43% of the 1.4bn eggs sold by Tesco each year come from caged hens, also known as enriched colonies.
Some 57% of eggs sold by Tesco in the UK come from free range or organic methods.",https://www.theguardian.com/world/2016/jul/14/tesco-to-stop-selling-caged-hens-eggs-by-2025-after-petition
What happens when Tesla’s AutoPilot goes wrong: owners post swerving videos ,"Several other cars from Volvo, Mercedes, Audi and others do similar, but have yet to be able to change lanes like Tesla.
The AutoPilot system has also been shown speeding and being pulled over by police.
Following white lines is safe on the motorway, but gets dangerous fast when the lines start to blur.
Despite the lower than average reliability, the same report found Tesla customers’ satisfaction as a “very high” from 97%.
Many Tesla drivers are early adopters and more accepting of teething problems and the novelty of having a car change with software updates.",https://www.theguardian.com/technology/2015/oct/21/tesla-autopilot-goes-wrong-videos
MPs launch tax inquiry after criticism of £130m Google-HMRC deal ,"MPs have launched an inquiry into the UK’s tax system after the government was accused of allowing Google to pay too little in a £130m deal.
Tax policy must be made more practicable and the tax system more coherent.
Steve Baker, a Conservative MP, said the tax deal with Google was “derisory” and “unacceptable to the public”, even though it is legal.
“Clearly there is more for the government to do to make sure that multinational companies pay their tax.
He said he “welcomed the progress the government over the last six years in making sure large companies pay more tax than they did before”.",https://www.theguardian.com/business/2016/jan/25/mps-launch-corporation-tax-inquiry-criticism-130m-google-hmrc-deal
Unilever picks London as its home over Rotterdam ,"Unilever has picked London as its home in an about-face on the company’s 2018 decision to “go Dutch” which was abandoned after a revolt by British shareholders.
Quick Guide A quick guide to Unilever Show Unilever was created in 1929 when the Dutch margarine producer Margarine Unie merged with the British soap maker Lever Brothers.
Two years on, Unilever has picked London as its headquarters.
“We regret this proposal as we would rather have seen a simplification with a Dutch company at the head,” the economy minister Eric Wiebes told parliament.
If shareholders back the new plan, Unilever’s Dutch entity will be merged into its UK arm with Dutch investors receiving one Unilever plc share for each Unilever NV share they hold.",https://www.theguardian.com/business/2020/jun/11/unilever-picks-london-as-its-home-over-rotterdam
Microsoft productivity score feature criticised as workplace surveillance ,"Microsoft has been criticised for enabling “workplace surveillance” after privacy campaigners warned that the company’s “productivity score” feature allows managers to use Microsoft 365 to track their employees’ activity at an individual level.
“This is so problematic at many levels,” tweeted the Austrian researcher Wolfie Christl, who raised alarm about the feature.
“Let me be clear: productivity score is not a work monitoring tool.
“Just as the reputation of a new and better company was being built, they detonate it with the most invasive workplace surveillance scheme yet to hit mainstream.
“Being under constant surveillance in the workplace is psychological abuse,” Heinemeier Hansson added.",https://www.theguardian.com/technology/2020/nov/26/microsoft-productivity-score-feature-criticised-workplace-surveillance
National Grid to remove electricity pylons from protected landscapes ,"Four protected landscapes are to be transformed by removing the electricity pylons and overhead lines that scar the view, under plans unveiled by National Grid.
The four schemes have been prioritised from 12 sections of electricity lines in eight national parks and AONBs across England and Wales which were considered to have the most significant impact on protected landscapes.
Environmentalist Chris Baines, who chaired the stakeholder group of conservation organisations which advised the National Grid on which transmission lines to prioritise, said some difficult decisions had to be made.
He said: “Reducing the visual impact of pylons and power lines in our most precious landscapes is highly desirable, but it is also very expensive and technically complex so we have had to make some difficult decisions.
The utility company will use £24m of the £500m for smaller projects to improve views and reduce the visual impact of existing electricity structure in national parks and AONBs.",https://www.theguardian.com/uk-news/2015/sep/15/national-grid-remove-electricity-pylons-protected-landscapes-improve-view
"Airbnb host who canceled reservation using racist comment must pay $5,000 ","An Airbnb host who canceled a woman’s reservation using a racist remark has been ordered to pay $5,000 in damages for racial discrimination and take a course in Asian American studies.
The agreement allows the regulator to test and penalize Airbnb hosts for racial bias.
According to Suh, Barker then denied she ever agreed to having two extra guests and canceled the reservation, despite Suh sending her screenshots of their earlier agreement.
If you’re Asian, you’re less than human and people can treat you like trash.”Dyne Suh talking shortly after the Airbnb host canceled her reservationAfter Suh complained, Airbnb carried out its own investigation and banned Barker from the platform.
With Airbnb, investigators can set up fake accounts and make reservation requests to hosts to see if they are discriminating.",https://www.theguardian.com/technology/2017/jul/13/airbnb-california-racist-comment-penalty-asian-american
Olympus chairman says ousted British boss tried to damage the company,"The chairman of Olympus, the Japanese camera giant engulfed in a crisis over acquisition-related fees, has accused the group's ousted British chief executive of deliberately damaging the company's reputation by releasing details of the deals.
""Director MCW [Michael C Woodford] was not satisfied unless he could control everything himself,"" Kikukawa's memo stated.
It said Woodford was trying to force him out with the help of a ""gang"" of executives friendly to the British businessman.
He would issue orders to his own people, disregarding the presidents of company operations,"" the memo states.
Despite the latest round of revelations, Olympus shares ended their losing streak on the Nikkei, rising 8.2% to Y1,189 (£9.77)",https://www.theguardian.com/business/2011/oct/25/olympus-woodward-kikukawa-memo-chairman
Margrethe Vestager: the woman prepared to take Google to task over tax ,"At a time when the foundations of the European Union have never looked shakier, Margrethe Vestager is a powerful reminder that Brussels, when it works as it should, has clout.
Vestager, a member of the Social Liberal party, was appointed competition commissioner in 2014 after a stellar career in Danish politics, a world of minority governments, fragile coalitions, consensus and compromise.
Vestager pushed through swingeing cuts to the country’s once-sacrosanct unemployment and early retirement benefits while economic affairs minister in the unstable three-party leftist coalition headed by the former Social Democrat prime minister, Helle Thorning-Schmidt.
Vestager is also looking at the subsidies paid by some European governments to their electricity utilities, arguing that they may amount to illegal state aid.
Vestager insists she is not opposed to ultra-low taxes in principle, as long as they are available to everyone and not just a select multinational few.",https://www.theguardian.com/business/2016/jan/28/margrethe-vestager-eu-competition-commissioner-google-tax-deal-uk-government
Aviva's supposed restructuring still isn't paying dividends,"What term do you want to search?
Search with google",https://www.theguardian.com/business/nils-pratley-on-finance+avivabusiness?page=2
National Grid plays down fears of power crunch and blackouts ,"The chief executive of National Grid has said he was confident of getting through this winter without blackouts despite Britain’s energy capacity becoming increasingly stretched.
National Grid said last month it was more likely to draw on extra sources of power this winter to keep the country’s electricity running and the chance of blackouts was at its highest for a decade.
The fall follows closures and reduction in output at a number of power stations.
The government expected a number of new gas-fired power stations to be built but most of the new capacity was provided by existing power stations with only 5% coming from a new plant.
Holliday will leave National Grid in July after stepping down as chief executive in March.",https://www.theguardian.com/business/2015/nov/10/national-grid-plays-down-fears-of-power-crunch-and-blackouts
EasyJet founder offers £5m reward as he seeks to derail Airbus order,"EasyJet founder Sir Stelios Haji-Ioannou is offering £5m to any “whistleblower” providing him with information that scuppers the budget airline’s 107-plane order from Airbus.
In an open letter, the entrepreneur, who owns a third of the airline, said: “EasyJet is currently run by certain directors that I can only regard as ‘scoundrels’.
Haji-Ioannou has repeatedly lobbied for easyJet to cancel its order for new planes, with coronavirus lockdowns likely to wipe out months of revenues.
An easyJet spokeswoman said: “As we have previously stated, the board firmly rejects any insinuation that easyJet was involved in any impropriety.
The tycoon has said he will not inject any fresh equity in easyJet “whilst the Airbus liability is in place”.",https://www.theguardian.com/business/2020/may/12/easyjet-founder-offers-5m-reward-as-he-seeks-to-derail-airbus-order
BP shares plunge amid 'low-carbon plan' and slipping oil market ,"BP’s share price has tumbled to a 25-year-low as investor jitters over the company’s ambitious transformation plans collide with fears for the future of the global oil market.
BP shares price, 1995 to 2020 BP shares price, 1995 to 2020Market analysts believe BP faces a double risk due to its potentially expensive and financially risky transition into low-carbon energy, and the uncertain outlook for the oil industry.
The first wave of the virus caused oil demand to fall to the lowest point in 25 years before producers reined in their production to protect the oil market price.
The [oil price] curve shows prices not reaching $50 a barrel until 2023.
“Even the reduced dividend is more than the group can really afford and until the oil price recovers it’s going to bleed cash.",https://www.theguardian.com/business/2020/oct/14/bp-shares-plunge-amid-low-carbon-plan-and-slipping-oil-market
"Facebook paid £4,327 corporation tax despite £35m staff bonuses ","Staff at Facebook’s UK arm took home an average of more than £210,000 last year in pay and bonuses, while their employer paid just £4,327 in corporation tax.
Operating at a loss meant that Facebook was able to pay less than £5,000 in corporation tax to HM Revenue for the year.
She added that all the firm’s employees paid UK income tax on their payouts.
The main corporation tax rate was 28% when Osborne arrived at the Treasury, and is 21% today.
Separately, the chancellor has introduced a diverted profits tax, known as the “Google tax”, aimed at preventing hi-tech international firms from minimising their tax liabilities in the UK.",https://www.theguardian.com/global/2015/oct/11/facebook-paid-4327-corporation-tax-despite-35-million-staff-bonuses
Starbucks executive denies lying over UK losses,"MPs have told a Starbucks executive that his claim that the coffee chain continually makes a loss in Britain ""just doesn't ring true"".
Appearing before a committee investigating the tax paid by multinational companies, Troy Alstead, Starbucks's chief financial officer, denied lying to shareholders over the chain's accounts.
She said it did not ring true that the man in charge of such an unsuccessful division would be promoted.
It just doesn't ring true,"" Hodge said.
It doesn't ring true Mr Alstead, that's what frustrates taxpayers in the UK.""",https://www.theguardian.com/business/2012/nov/12/starbucks-executive-denies-lying-losses
Trump plans to relax Obama rules for oil companies put in place after BP disaster ,"Under previous rules, those entities had to be approved by the government agency that oversees offshore drilling, without any input from industry.
“A lot of the changes that were made to reduce the requirements were designed to get synchronized with [oil industry lobbyist] API,” he said.
One set of changes affecting the oil industry, which involve production safety, have already been finalised by the Trump administration.
But, Hoskins said, the BSEE’s experts have also said that they believed “the actual risk reduction [from the previous safety rules] will likely be substantially higher than 1%”.
Other critics of the proposed changes include Christine Todd Whitman, the former Republican governor of New Jersey and EPA administrator.",https://www.theguardian.com/environment/2019/jan/15/trump-relax-rules-oil-companies-bp-deepwater-horizon-disaster
Why Schroders' reshuffle looks like a triumph of chumminess,"Well played, Michael Dobson, that was a terrific 14-year innings as chief executive of fund manager Schroders, one of the few grand old City names to flourish in the modern world.
He is merely moving into the chairman’s office, a switch that – as usual on these occasions – looks like a triumph of chumminess over common sense.
The new chief executive operates under a shadow.
Schroders, managing £313bn of other people’s money, is a firm we expect to read the riot act on governance to quoted companies.
Schroders says there are cases where, having assessed the merits, it has approved of a chief executive becoming chairman – although it couldn’t name any immediately.",https://www.theguardian.com/business/2016/mar/03/schroders-reshuffle-board-chairman-chief-executive-corporate-governance
Markets braced for Tesla's expected move into electric storage business ,,
